"treeID","stemID","tag","StemTag","sp","quadrat","gx","gy","dbh","hom","ExactDate","DFstatus","codes","date","status","agb","plot","census","plotID"
453963,973787,"005573","","coccpa","1737",354.4,745.4,NA,NA,NA,NA,NA,17618,"V",0,"gigante2",5,157
453965,973788,"005575","3","oenoma","1737",359.1,749.3,NA,NA,NA,NA,NA,17618,"P",0,"gigante2",5,157
453969,973789,"005579","","oenoma","1736",346.4,725.3,NA,NA,NA,NA,NA,17616,"V",0,"gigante2",5,157
454030,973790,"011190","2","sloazu","1636",339.5,739.3,NA,NA,NA,NA,NA,17609,"P",0,"gigante2",5,157
454033,973791,"011193","3","oenoma","1636",339.6,735.3,NA,NA,NA,NA,NA,17609,"P",0,"gigante2",5,157
454040,973792,"011200","1","pipecu","1736",342.5,730.3,NA,NA,NA,NA,NA,17616,"P",0,"gigante2",5,157
454041,973793,"011201","","oenoma","1736",340.3,734.7,NA,NA,NA,NA,NA,17616,"V",0,"gigante2",5,157
454091,973794,"011251","","oenoma","1736",349.6,735.6,NA,NA,NA,NA,NA,17616,"V",0,"gigante2",5,157
454130,973795,"014004","","oenoma","1535",308.2,714.9,103,1.3,"2008-03-04","alive","M",17595,"A",0.051500632244161,"gigante2",5,157
454135,973796,"014010","","oenoma","1535",312.1,709.8,NA,NA,NA,NA,NA,17595,"V",0,"gigante2",5,157
454138,973797,"014013","3","oenoma","1535",313.2,719.5,NA,NA,NA,NA,NA,17595,"P",0,"gigante2",5,157
454140,973798,"014015","","oenoma","1535",319.2,710.3,NA,NA,NA,NA,NA,17595,"V",0,"gigante2",5,157
454141,973799,"014016","","oenoma","1535",319.7,711.5,93,1.3,"2008-03-04","alive","M",17595,"A",0.039274592087329,"gigante2",5,157
454149,973800,"014024","","oenoma","1536",307.2,720.3,NA,NA,NA,NA,NA,17595,"V",0,"gigante2",5,157
454157,973801,"014032","","oenoma","1536",317.8,737.4,NA,NA,NA,NA,NA,17595,"V",0,"gigante2",5,157
454164,973802,"014039","","oenoma","1537",305.3,754.3,103,1.3,"2008-03-05","alive",NA,17596,"A",0.051500632244161,"gigante2",5,157
454167,973803,"014042","","oenoma","1537",309.6,744.6,NA,NA,NA,NA,NA,17595.9310344828,"V",0,"gigante2",5,157
454180,973804,"014055","","oenoma","1538",319.4,776,NA,NA,NA,NA,NA,17596,"V",0,"gigante2",5,157
454184,973805,"014059","","oenoma","1539",302.5,782.8,NA,NA,NA,NA,NA,17596,"V",0,"gigante2",5,157
454190,973806,"014065","","oenoma","1539",316.8,790.9,77,1.3,"2008-03-05","alive",NA,17596,"A",0.0238256235954132,"gigante2",5,157
454201,973807,"014076","1","sloazu","1835",370.9,707.5,NA,NA,NA,NA,NA,17609,"P",0,"gigante2",5,157
454208,973808,"014083","","oenoma","1836",378.6,727.8,117,1.3,"2008-03-18","alive","M",17609,"A",0.0722456620468271,"gigante2",5,157
454214,973809,"014089","","oenoma","1837",363.1,743.7,NA,NA,NA,NA,NA,17609.0333333333,"V",0,"gigante2",5,157
454216,973810,"014091","","oenoma","1837",365.9,750.5,NA,NA,NA,NA,NA,17609.0333333333,"V",0,"gigante2",5,157
454220,973811,"014096","","oenoma","1838",364.8,761,NA,NA,NA,NA,NA,17609,"V",0,"gigante2",5,157
454228,973812,"014104","","oenoma","1635",330.6,709.2,NA,NA,NA,NA,NA,17609,"V",0,"gigante2",5,157
454337,973813,"014216","3","oenoma","1637",329.6,759.6,NA,NA,NA,NA,NA,17610,"P",0,"gigante2",5,157
454389,973814,"014268","1","sloazu","1638",322.4,761,NA,NA,NA,NA,NA,17611,"P",0,"gigante2",5,157
454390,973815,"014269","","oenoma","1638",331,769.3,NA,NA,NA,NA,NA,17611,"V",0,"gigante2",5,157
454395,973816,"014274","2","sloazu","1639",320.9,787.7,NA,NA,NA,NA,NA,17611,"P",0,"gigante2",5,157
454401,973817,"014280","","oenoma","1735",347.6,718.5,61,1.3,"2008-03-24","alive",NA,17615,"A",0.012905426297307,"gigante2",5,157
454406,973818,"014285","","oenoma","1735",353.9,715.9,NA,NA,NA,NA,NA,17615.0606060606,"V",0,"gigante2",5,157
454469,973819,"014348","","oenoma","1736",356.4,729.3,NA,NA,NA,NA,NA,17616,"V",0,"gigante2",5,157
454476,973820,"014355","","oenoma","1736",357.2,724.7,NA,NA,NA,NA,NA,17616,"V",0,"gigante2",5,157
454493,973821,"014372","3","xyl1ma","1737",346.2,758.4,NA,NA,NA,NA,NA,17618,"P",0,"gigante2",5,157
454506,973822,"014385","1","pipecu","1737",353.3,754,NA,NA,NA,NA,NA,17618,"P",0,"gigante2",5,157
454557,973823,"014606","","oenoma","1838",376.8,760.2,NA,NA,NA,NA,NA,17609,"V",0,"gigante2",5,157
454576,973824,"014625","","gustsu","1739",345.3,791.9,80,1.3,"2008-11-28","alive",NA,17864,"A",0.0214415669213916,"gigante2",5,157
454589,973825,"014662","","oenoma","1935",392.4,706.8,96,1.3,"2008-03-28","alive",NA,17619,"A",0.0427254076146806,"gigante2",5,157
454593,973826,"014666","","oenoma","1936",388.4,723.5,NA,NA,NA,NA,NA,17622,"V",0,"gigante2",5,157
454594,973827,"014667","","oenoma","1936",392.4,724.5,NA,NA,NA,NA,NA,17622,"V",0,"gigante2",5,157
454597,973828,"014670","","oenoma","1936",394.4,734.8,NA,NA,NA,NA,NA,17622,"V",0,"gigante2",5,157
454607,973829,"014680","","oenoma","1937",389.3,754.7,NA,NA,NA,NA,NA,17622,"V",0,"gigante2",5,157
454610,973830,"014683","","oenoma","1937",394.8,745.3,NA,NA,NA,NA,NA,17622,"V",0,"gigante2",5,157
